ID;YTID;start_second;end_second;positive_labels
TR_2818;5_PvtlfQLOE;40;50;/m/046dlr,/m/07pp_mv
TR_2862;5fOiSYDYu-Q;80;90;/m/0150b9
TR_2936;5otuWD5-Zhc;470;480;/m/03w41f
TR_3019;60qFw0lB1Rw;130;140;/m/0239kh
TR_3021;60y9j_Dc-Xs;90;100;/m/0395lw
TR_3024;61ZirC2IlLg;210;220;/m/012n7d,/m/012ndj,/m/03j1ly,/m/03kmc9
TR_3107;6F3YIb0Uw4I;30;40;/m/012n7d,/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_3178;6Qzlke1phUs;30;40;/m/0150b9
TR_3261;6dhpe65QOcc;16;26;/m/012n7d,/m/012ndj,/m/03j1ly,/m/03kmc9
TR_3605;7X3xpNvHSEk;0;10;/m/0gy1t2s
TR_3773;81-uERZml1w;10;20;/m/012ndj,/m/03j1ly,/m/03kmc9
TR_4019;8guASCeupec;180;190;/m/01y3hg
TR_4061;8nC5PrbKbfk;0;10;/m/0gy1t2s
TR_4081;8pHUBnRV8qc;10;20;/m/0239kh
TR_4148;919RleFXcNM;380;390;/m/01y3hg
TR_4162;940MNbCeobw;0;10;/m/0239kh
TR_4196;9Bln0rDEx_o;30;40;/m/03wwcy
TR_4219;9GKalHsMARA;60;70;/m/012ndj,/m/03j1ly,/m/03kmc9
TR_4255;9L3EMXLufVg;0;10;/m/0gy1t2s
TR_4305;9VJL-ktypNw;0;6;/m/03wwcy
TR_4441;9tqxUvjZfNA;30;40;/m/03kmc9,/m/0dgbq
TR_4459;9xFXcBNlcqs;0;10;/m/0gy1t2s
TR_4576;AFY3Mn_j0e8;30;40;/m/02mfyn
TR_4641;APgSOmHGSiE;30;40;/m/03kmc9,/m/0dgbq
TR_4677;AV76SZTw6z8;30;40;/m/012n7d,/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_4719;AafHy3_jyRQ;30;40;/m/03kmc9,/m/0dgbq
TR_4781;AkWEga9gUIQ;0;10;/m/01y3hg
TR_4785;Al2qQMp2RUA;30;40;/m/012ndj,/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_4794;AmP1CbovFcs;230;240;/m/046dlr
TR_4813;AqYtUrWUX_s;0;10;/m/0gy1t2s
TR_4879;AyFk10RjRS4;30;40;/m/07pp_mv
TR_4915;B4k036R3wQE;18;28;/m/01y3hg
TR_4923;B6LfW54PyZ0;30;40;/m/0239kh
TR_4946;BAB5U7kCOH0;380;390;/m/012n7d,/m/03j1ly,/m/03kmc9
TR_4953;BBYIJjcxapk;30;40;/m/02mfyn
TR_4996;BHqX1Jxxr5k;160;170;/m/012ndj,/m/03j1ly,/m/03kmc9
TR_4999;BIK1Ds79KVM;120;130;/m/0c3f7m
TR_5025;BMqxW3bs0iU;30;40;/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_5109;BYbIKQqGE2U;30;40;/m/012ndj,/m/03j1ly,/m/03kmc9
TR_5124;BZtLVLGnILI;30;40;/m/012ndj,/m/03j1ly,/m/03kmc9
TR_5139;Bbm-b0z_XpE;30;40;/m/046dlr,/m/07pp_mv
TR_5177;BgUWb7ArWSM;30;40;/m/012ndj,/m/03j1ly,/m/03kmc9
TR_5217;BlfvcQ3gqFg;90;100;/m/03kmc9,/m/0dgbq
TR_5273;BupCr-FQmhY;20;30;/m/0239kh
TR_5274;BurGML_ZqSA;100;110;/m/0395lw,/m/03wwcy
TR_5279;Bvxvfq5GUI4;80;90;/m/07pp_mv
TR_5338;C4gMM8aXagQ;30;40;/m/0c3f7m
TR_5363;C9K93AUFuvk;0;10;/m/07pp_mv
TR_5438;CL9m1ci5q6o;30;40;/m/012n7d,/m/03j1ly,/m/03kmc9
TR_5492;CT1RIngdLQI;30;40;/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_5629;CnYUEif7qF8;140;150;/m/01y3hg
TR_5681;CvHu8TxyXXQ;30;40;/m/012n7d,/m/03j1ly,/m/03kmc9
TR_5727;D0MtSXYS1kY;120;130;/m/012n7d,/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_5736;D2_KIhSbmt0;40;50;/m/0c3f7m
TR_5800;DFLDW-560HQ;30;40;/m/03w41f
TR_5812;DHsm756LKsA;50;60;/m/0gy1t2s
TR_5815;DITadeFq088;0;7;/m/07pp_mv
TR_5836;DMMCiQB7-E4;30;40;/m/07pp_mv,/m/0c3f7m
TR_5900;DX05CfULHGA;23;33;/m/03kmc9,/m/0dgbq
TR_5922;D_zlJGQz0Eg;30;40;/m/03kmc9,/m/0dgbq
TR_5987;DlvmTAFnLKA;0;9;/m/01hnzm
TR_5993;Do9Dffb6vHA;30;40;/m/03kmc9,/m/0dgbq
TR_6018;DsFvp-0mEZA;30;40;/m/03kmc9,/m/0dgbq
TR_6049;DytM8WDRqwg;12;22;/m/046dlr
TR_6090;E4U4ZLHm4WI;180;190;/m/03kmc9,/m/0dgbq
TR_6103;E6JR3htwgyE;0;10;/m/0395lw
TR_6108;E7_4m7rS1t8;390;400;/m/03kmc9,/m/0dgbq
TR_6156;EHgzJwWi5vg;24;34;/m/07pp_mv
TR_6212;EQbNUh1uQbw;10;20;/m/01hnzm
TR_6227;ESlAhH9pVXs;10;20;/m/03kmc9,/m/0dgbq
TR_6244;EUn5O3SywCE;30;40;/m/012ndj,/m/03j1ly
TR_6251;EW8bLio25lE;30;40;/m/03kmc9,/m/0dgbq
TR_6257;EX-5P7YdWsc;10;20;/m/07pp_mv
TR_6277;E_GwHraQ-L4;30;40;/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_6332;EgBaPSjR28M;60;70;/m/046dlr
TR_6379;EpX_SYq0ids;17;27;/m/046dlr
TR_6387;EqSluSsMXE0;30;40;/m/01y3hg,/m/0c3f7m
TR_6391;ErEzTWbXHzI;10;20;/m/0150b9
TR_6398;EsG-jdDMp8o;30;40;/m/0gy1t2s
TR_6444;F0LSs8MZN4w;20;30;/m/012n7d,/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_6456;F3dasUA6LqU;120;130;/m/0c3f7m
TR_6476;F6l3MRb__G0;400;410;/m/012n7d,/m/03j1ly,/m/03kmc9
TR_6533;FGdecHU2ms8;80;90;/m/0150b9
TR_6667;Fb1Tq_tczw4;50;60;/m/0150b9
TR_6703;FgMI3yEXj1Q;30;40;/m/03kmc9,/m/0dgbq
TR_6725;FmK_QqkLhiE;270;280;/m/0150b9
TR_6746;Fr8ZMXkLM5Y;60;70;/m/0150b9,/m/03w41f
TR_7049;GfTpGVkfKgw;0;10;/m/046dlr
TR_7061;GhV2uSuSsAs;80;90;/m/02mfyn
TR_7105;Gpk-aZXZN10;60;70;/m/07pp_mv
TR_7109;GqLIHSRnM3E;170;180;/m/03w41f
TR_7155;GyygYycarL0;80;90;/m/0c3f7m
TR_7223;HDDxzqEUy74;150;160;/m/012n7d,/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_7225;HDQyCmiloQQ;30;40;/m/012ndj,/m/03j1ly,/m/03kmc9
TR_7233;HFpfDaLZtzQ;30;40;/m/01y3hg,/m/0c3f7m
TR_7264;HL-SGox-Ez0;30;40;/m/03w41f
TR_7276;HNgJgy92k5U;350;360;/m/0150b9
TR_7283;HOlAFkMT1Do;30;40;/m/02mfyn,/m/03kmc9
TR_7290;HPcTJHWjOq8;0;10;/m/0gy1t2s
TR_7357;HZiZYd9DE9Q;100;110;/m/0gy1t2s
TR_7446;Ho9r2sbfGfA;0;9;/m/02mfyn
TR_7463;HqzzvRL1raY;170;180;/m/012ndj,/m/03j1ly,/m/03kmc9
TR_7497;HxB6C9su7ts;270;280;/m/03j1ly,/m/0912c9
TR_7498;HxO2GRMD_fw;90;100;/m/07pp_mv,/m/0c3f7m
TR_7537;I3etAR5FQjo;60;70;/m/01y3hg,/m/07pp_mv,/m/0c3f7m
TR_7704;IV8YevS0PYc;0;2;/m/02mfyn
TR_7719;IYrVF4tHN08;20;30;/m/07pp_mv,/m/0c3f7m
TR_7793;IigiZ3ss6HE;10;20;/m/01hnzm
TR_7866;IusuWEAoIoY;30;40;/m/03w41f
TR_7934;J8Kx1I1B5V4;30;40;/m/03kmc9,/m/0dgbq
TR_7943;J9hPHw_EKBU;30;40;/m/03kmc9,/m/0dgbq
TR_7990;JHI63b0sgnw;90;100;/m/012ndj,/m/03j1ly,/m/03kmc9
TR_7991;JHIfkGns06o;150;160;/m/03w41f
TR_8015;JL76D1HWv-U;550;560;/m/03wwcy
TR_8047;JQ9G4vW31U0;22;32;/m/0150b9
TR_8074;JW36HYLa4E4;0;9;/m/01y3hg
TR_8084;JXfP_NbUaRE;19;29;/m/046dlr
TR_8138;Jj9orXFko0Y;30;40;/m/0395lw
TR_8197;Jtoff_VHCg8;30;40;/m/012ndj,/m/03j1ly,/m/03kmc9
TR_8201;JuaiNGsbGxE;30;40;/m/03w41f
TR_8231;JzPqdoLFj8U;30;40;/m/0150b9
TR_8320;KHapBfftSoE;70;80;/m/0150b9,/m/03w41f
TR_8362;KNqoXUYBxZ0;7;17;/m/02mfyn
TR_8393;KSLSsWlbZYk;9;19;/m/03kmc9,/m/0dgbq
TR_8541;KqUD1AAGpJ4;50;60;/m/012ndj,/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_8561;Ksvf-ij4m7Y;70;80;/m/0150b9
TR_8666;LAuAAjiaVkY;10;20;/m/0239kh
TR_8700;LGrAwQnZ6Bs;100;110;/m/0395lw
TR_8715;LJMTI-D9gak;30;40;/m/03kmc9,/m/0dgbq
TR_8737;LLmMCjc8Bmg;40;50;/m/012ndj,/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_8762;LP-9nsdsT6c;210;220;/m/0150b9
TR_8861;LfeO5qcawrI;10;20;/m/046dlr
TR_8881;LjeZYuAHjpk;0;10;/m/0c3f7m
TR_8912;LqzVc-jd3Nc;60;70;/m/03kmc9,/m/0dgbq
TR_8959;M04EdgCw1Mk;30;40;/m/012ndj,/m/03j1ly,/m/03kmc9
TR_8969;M1kL1VKZ0uo;30;40;/m/012ndj,/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_8984;M47-JuWnx6U;0;6;/m/03wwcy
TR_9025;MCI7MZYdwoo;30;40;/m/0150b9,/m/03w41f
TR_9082;MLY__fadQAw;40;50;/m/02mfyn
TR_9131;MV4tgzc9X6s;10;20;/m/0239kh
TR_9136;MWJZVSUJHVE;0;10;/m/03w41f
TR_9164;McgfmsC8tIE;200;210;/m/0150b9
TR_9197;Mk23vQxKr6U;140;150;/m/03w41f
TR_9274;MvvZ2akuEKU;0;10;/m/012n7d,/m/03j1ly,/m/03kmc9
TR_9320;N3pxp1FCJRQ;110;120;/m/07pp_mv,/m/0c3f7m
TR_9411;NP8qMhyC2N4;0;10;/m/03kmc9,/m/0dgbq
TR_9438;NUHlTnLitqk;0;10;/m/07pp_mv
TR_9439;NUJuiMKbyhc;250;260;/m/012n7d,/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_9552;Npbs_4DZgEQ;520;530;/m/0395lw
TR_9575;NuZqqcO2_Ok;13;23;/m/012n7d,/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_9621;O2htSqXhdqE;0;10;/m/0c3f7m
TR_9647;O7Ae53L5U1Q;1;11;/m/02mfyn,/m/03kmc9,/m/04qvtq
TR_9668;OA24pdxG9R4;30;40;/m/03wwcy
TR_9731;OLVYyUZrDdE;180;190;/m/012ndj,/m/03j1ly,/m/03kmc9
TR_9740;OMApGp219Zc;10;20;/m/0395lw
TR_9809;OY6OMbGAovE;30;40;/m/012n7d,/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_9827;ObQH8sSi4K8;30;40;/m/03w41f
TR_10019;PCsQ3zgL3CU;230;240;/m/07pp_mv,/m/0c3f7m
TR_10050;PJOaid2r_tA;100;110;/m/0gy1t2s
TR_10124;PZ2r_9eGTkc;500;510;/m/01y3hg
TR_10184;Pi4In494rAg;30;40;/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_10210;Pn-iPvAD7aA;15;25;/m/012n7d,/m/02mfyn,/m/03j1ly,/m/03kmc9
TR_10216;Po6fQGSFkN0;30;40;/m/046dlr
TR_10259;PutmxKNvMPw;350;360;/m/01y3hg
TR_10262;Pv8ZWvM8bhw;30;40;/m/0239kh
TR_10277;Py4g6GeGHjQ;30;40;/m/012n7d,/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_10310;Q1rAXPzU9Rs;240;250;/m/01y3hg
TR_10318;Q3i-nCScgi0;160;170;/m/01y3hg
TR_10319;Q3vL9c3Q5jg;0;4;/m/0gy1t2s
TR_10476;QXO9tlwgvKc;50;60;/m/02mfyn
TR_10574;Qr_uA-LrWz0;110;120;/m/0150b9
TR_10599;QwlL3d075_E;30;40;/m/03kmc9
TR_10626;R0ws0tATJLg;0;10;/m/0395lw,/m/03w41f
TR_10627;R2MSnjisxw4;15;25;/m/07pp_mv
TR_10652;R8WB_-Pfd-I;0;7;/m/046dlr
TR_10657;RAYmbd9bLoE;110;120;/m/07pp_mv
TR_10660;RBAdkKvtmtw;0;10;/m/0150b9
TR_10699;RIe1omxr7nc;0;10;/m/0395lw,/m/0gy1t2s
TR_10781;RZIVGgQzUJU;0;10;/m/012n7d,/m/02mfyn,/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_10813;Rf7vygfb7w4;10;20;/m/0395lw
TR_10832;RighhtPYHGQ;0;10;/m/0gy1t2s
TR_10877;Rtel5iGCPO8;40;50;/m/012n7d,/m/012ndj,/m/03j1ly,/m/03kmc9
TR_10926;S2Vk2fGMW1g;70;80;/m/0c3f7m
TR_11015;SJ7BOzbRLHA;6;16;/m/0150b9,/m/03w41f
TR_11051;SQQgQ8wVfF0;30;40;/m/0c3f7m
TR_11067;STs2rg4uLF0;30;40;/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_11072;SVGT6J6G4ts;11;21;/m/012ndj,/m/03j1ly,/m/03kmc9
TR_11085;SXFMAPPaAbA;30;40;/m/07pp_mv,/m/0c3f7m
TR_11111;SbUwQctvbHg;240;250;/m/0395lw
TR_11124;Sdnv8043mdk;70;80;/m/0395lw
TR_11159;SkhNjq1bU44;140;150;/m/046dlr
TR_11202;SsYJ8SRGCVg;30;40;/m/012ndj,/m/03j1ly,/m/03kmc9
TR_11215;Sv9fcuRfk2o;70;80;/m/02mfyn
TR_11290;TA57n2roc6s;60;70;/m/02mfyn
TR_11460;TgZF6KBiBcQ;300;310;/m/0150b9,/m/03w41f
TR_11468;ThYnNuVDTTk;0;10;/m/01y3hg
TR_11530;TvDcZ43OGww;10;20;/m/0239kh
TR_11532;TveGcg-tuZg;70;80;/m/03kmc9,/m/0dgbq
TR_11689;UNERF2UwHXk;430;440;/m/012n7d,/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_11764;UYjj-TjrFi0;30;40;/m/0150b9
TR_11785;UbkUtLiMNSI;100;110;/m/02mfyn,/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_11816;UhYnPJw1oT8;160;170;/m/01y3hg
TR_11887;Uu8m1oOWkiE;120;130;/m/0395lw
TR_11958;V5_KBwNP6Jo;0;8;/m/01hnzm
TR_11998;VCIm4ljZWac;30;40;/m/02mfyn
TR_12083;VT_BC6l_HeY;0;10;/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_12097;VXI3-DI4xNs;30;40;/m/012ndj,/m/03j1ly,/m/03kmc9
TR_12145;Vge67eYk6Ew;2;12;/m/0395lw,/m/0gy1t2s
TR_12213;VttMBDi4k3E;30;40;/m/03w41f
TR_12222;Vw60Ox3YXq0;70;80;/m/03kmc9
TR_12361;WHFFyxCgN9Y;30;40;/m/03kmc9,/m/0dgbq
TR_12373;WJcaxEPB3lI;11;21;/m/0150b9
TR_12413;WQWUEZtm8Jw;30;40;/m/012n7d,/m/012ndj,/m/03j1ly,/m/03kmc9
TR_12457;W_1YEyhD3ko;140;150;/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_12557;Wqn38dNWFsc;180;190;/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_12574;WtvSnE0-N4M;120;130;/m/012ndj,/m/03j1ly,/m/03kmc9
TR_12686;XHimm5QTqBE;0;10;/m/03w41f
TR_12730;XP8F1T7dk94;40;50;/m/02mfyn
TR_12750;XUIizI20wDI;380;390;/m/0c3f7m
TR_12762;XW1WkG6ADtQ;30;40;/m/012n7d,/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_12814;XefOyd1nRUU;10;20;/m/02mfyn
TR_12830;XgzRQ8OD8TE;30;40;/m/0c3f7m
TR_12837;Xi-NFemvoIU;30;40;/m/046dlr
TR_12881;XprqiWeGihg;7;17;/m/046dlr
TR_12950;Y1l6PScgwmM;20;30;/m/03w41f
TR_12997;Y9ys-Yx5_j0;10;20;/m/012n7d,/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_12999;YAVVMxqtxGE;40;50;/m/0239kh
TR_13050;YIju3UFD-ow;200;210;/m/02mfyn
TR_13079;YN_eWjobUjQ;350;360;/m/0150b9
TR_13104;YTapjEIgzkI;21;31;/m/01y3hg
TR_13198;YjYF3k0FVZk;180;190;/m/0239kh
TR_13234;Yp7E3t7_nTc;30;40;/m/0150b9
TR_13381;ZCgE23s5bt0;30;40;/m/012n7d,/m/012ndj,/m/03j1ly,/m/03kmc9
TR_13412;ZGNVQpRqZ4Y;50;60;/m/012ndj,/m/03j1ly,/m/03kmc9
TR_13426;ZJ2AHS3pVro;7;17;/m/046dlr
TR_13480;ZQnAtQmUhKQ;400;410;/m/012n7d,/m/03j1ly,/m/03kmc9
TR_13490;ZSItez9gTyY;0;10;/m/0395lw
TR_13534;Z_RF6ppPVKM;20;30;/m/0c3f7m
TR_13541;ZaofVJP8QYI;40;50;/m/07pp_mv,/m/0c3f7m
TR_13570;ZfomwmZ7_Kk;30;40;/m/0150b9
TR_13744;_G3lYKAITu8;490;500;/m/0395lw,/m/03w41f
TR_13768;_JTHtcRHxnw;300;310;/m/0395lw,/m/03w41f
TR_13806;_ROxgh3bJAU;200;210;/m/02mfyn
TR_13817;_Slo8QXYOp8;0;10;/m/0395lw
TR_13831;_VhZ0z8UlD0;30;40;/m/012ndj,/m/03j1ly,/m/03kmc9
TR_13927;_lkuZpt1Jt0;30;40;/m/012n7d,/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_13935;_ns2Zm-zOdQ;0;4;/m/0gy1t2s
TR_13991;a-0aq-U69tk;0;10;/m/01hnzm
TR_14106;aLHxMaT3uYg;80;90;/m/012ndj,/m/03j1ly,/m/0912c9
TR_14126;aOmRbSkPdVw;250;260;/m/012ndj,/m/03j1ly,/m/03kmc9
TR_14147;aTaSLxjvjnY;0;6;/m/0gy1t2s
TR_14173;aZ0_py3k6AM;130;140;/m/01y3hg
TR_14184;a_mdhaQPQ3w;60;70;/m/012n7d,/m/02mfyn,/m/03j1ly,/m/03kmc9
TR_14248;ammKLbpCiwU;10;20;/m/03w41f
TR_14261;apaH7oczgoA;90;100;/m/02mfyn
TR_14339;b4bIubTJPdM;90;100;/m/03w41f
TR_14344;b6jGz8htxfA;10;20;/m/0150b9
TR_14379;bDNz4NDWzaM;70;80;/m/012ndj,/m/03j1ly,/m/03kmc9
TR_14410;bKWc8u79cfg;570;580;/m/0239kh
TR_14421;bLtfHk5VSHQ;110;120;/m/07pp_mv
TR_14503;bcUe0dvaCMs;21;31;/m/046dlr
TR_14505;bci0i3AgFRQ;470;480;/m/0150b9
TR_14510;bdmFF7mRFI8;130;140;/m/046dlr
TR_14534;biwgjti_oxk;100;110;/m/0239kh
TR_14609;bublmh2Nm-M;100;110;/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_14633;c-f2RSZ_LxU;490;500;/m/03w41f
TR_14664;c7tyck8VQKo;40;50;/m/02mfyn
TR_14682;cAX2Eb_YCOU;570;580;/m/0150b9
TR_14736;cMatnDQqzjw;110;120;/m/02mfyn
TR_14754;cQGmwvP5fCA;150;160;/m/01y3hg,/m/0c3f7m
TR_14769;cRaVcIau3m4;100;110;/m/0gy1t2s
TR_14791;cURcd2_w-rg;30;40;/m/03kmc9,/m/0dgbq
TR_14809;cXvjAYSQpIM;0;10;/m/0239kh
TR_14815;cYdq2fjRhcg;10;20;/m/0239kh
TR_14827;ca4mVsLKFi0;0;10;/m/0gy1t2s
TR_14838;cc2KiMGQ5V0;0;10;/m/0150b9
TR_14883;clJZQsQzGCA;490;500;/m/03w41f
TR_14894;cnBrqMgSUUQ;0;10;/m/0150b9
TR_14961;d-zH-RFj1EU;0;10;/m/07pp_mv
TR_14964;d04-EBJMLsA;30;40;/m/012n7d,/m/012ndj,/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_15000;d6nURbq86zM;30;40;/m/0395lw
TR_15192;dlZ8WXf3e_g;160;170;/m/0150b9,/m/03w41f
TR_15206;doHon0FpLaw;0;10;/m/0239kh
TR_15261;dzd3vubsmMY;60;70;/m/0c3f7m
TR_15364;eJpxPl22F6w;110;120;/m/012ndj,/m/03j1ly,/m/03kmc9
TR_15378;eLpoiPXQe1Q;0;10;/m/0c3f7m
TR_15445;eZvYi9PsAm8;0;10;/m/046dlr
TR_15448;e_HhPw57sfA;110;120;/m/07pp_mv
TR_15547;eryYjuTEmpQ;30;40;/m/01y3hg
TR_15556;etppP5Sdo14;30;40;/m/03kmc9,/m/0dgbq
TR_15630;f9rClVI52e0;150;160;/m/012ndj,/m/03j1ly,/m/03kmc9
TR_15658;fFzUndjB_bU;30;40;/m/012n7d,/m/012ndj,/m/03j1ly,/m/03kmc9
TR_15677;fKBY2_IG86g;130;140;/m/012ndj,/m/03j1ly,/m/03kmc9
TR_15802;fjJSS9MVBQM;80;90;/m/01hnzm
TR_15823;foLEI7XUaBM;330;340;/m/012ndj,/m/03j1ly,/m/03kmc9
TR_15824;foxHN2bZXSk;0;6;/m/0gy1t2s
TR_15842;fsDLR7pK3bs;3;13;/m/0239kh
TR_15865;fw7Y8n_0sYg;70;80;/m/0gy1t2s
TR_15866;fwLc41q5Sow;100;110;/m/046dlr,/m/07pp_mv
TR_15896;fzoRJ3-NJLE;30;40;/m/03kmc9,/m/0dgbq
TR_15940;g6hqQz_iuDQ;20;30;/m/03wwcy
TR_15952;g8wdhSb01RY;0;10;/m/07pp_mv
TR_15988;gFFL2JwuNT8;0;10;/m/0gy1t2s
TR_16015;gKEIFL2uFgU;30;40;/m/0150b9
TR_16034;gOOtp-74_B0;190;200;/m/01y3hg
TR_16086;gXpwexewzTE;20;30;/m/0395lw
TR_16101;g_r6DauV5Rw;170;180;/m/0150b9
TR_16124;geQt8xd6Ofg;100;110;/m/0150b9
TR_16127;gf0yxlYk22g;0;10;/m/0gy1t2s
TR_16130;gfgUPBApY7s;170;180;/m/07pp_mv
TR_16148;gjroPMQJ3M8;0;10;/m/012n7d,/m/02mfyn,/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_16158;glfVYd7wA9w;30;40;/m/0239kh
TR_16221;gwZJIHspEdU;69;79;/m/0239kh
TR_16381;hOiGqU4KQFA;10;20;/m/046dlr,/m/0gy1t2s
TR_16389;hQOF_xfbqf8;90;100;/m/0gy1t2s
TR_16422;hWs6qu4ayAc;80;90;/m/0c3f7m
TR_16436;hZr2vG9w2x4;80;90;/m/0239kh
TR_16447;hbzS-DuGx-A;530;540;/m/0c3f7m
TR_16524;hqCL8MieXp8;40;50;/m/0gy1t2s
TR_16539;huMQnPm6qK0;30;40;/m/012n7d,/m/012ndj,/m/03j1ly,/m/03kmc9
TR_16771;if8Oz8Q_GKE;50;60;/m/03w41f
TR_16787;ijXtSxgdcCk;70;80;/m/0239kh
TR_16814;inua1iZ3BxY;50;60;/m/0150b9
TR_16869;j-iPCG26Lsk;170;180;/m/046dlr
TR_16878;j1N909f8Obg;50;60;/m/012n7d
TR_16963;jId8lbfr-kg;250;260;/m/0c3f7m
